id,countryName,continent,population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,UN_GDP_per_capita
760,Syria,Asia,2.322701E7,0.0,2.2163075121E10,954.19,954194.0663477564
144,Sri Lanka,Asia,2.189358E7,8.7121E10,8.1321970966E10,3979.29,3714420.8926087003
454,Malawi,Africa,2.093175E7,1.1325E10,5.318197658E9,541.04,254073.24557191826
894,Zambia,Africa,2.056974E7,2.7709E10,2.1063063977E10,1347.08,1023982.9952639167
642,Romania,Europe,1.989281E7,3.12694E11,1.86691E11,15718.94,9384848.093356343
152,Chile,South America,1.962959E7,3.51036E11,2.47046E11,17883.0,1.2585387672386432E7
398,Kazakhstan,Europe,1.960663E7,2.25928E11,1.35005E11,11523.04,6885681.017084527
148,Chad,Africa,1.827857E7,1.3517E10,1.1267295771E10,739.5,616421.0751169266
218,Ecuador,South America,1.819048E7,1.20246E11,9.8010212618E10,6610.38,5387994.853241916
706,Somalia,Africa,1.814338E7,9.185E9,1.318057519E9,506.25,72646.74603078367
320,Guatemala,North America,1.809203E7,9.5988E10,6.876292057E10,5305.54,3800729.9661784777
686,Senegal,Africa,1.776316E7,3.2107E10,1.4604520531E10,1807.5,822180.3176349254
528,Netherlands,Europe,1.76183E7,1.07279E12,7.77228E11,60890.61,4.411481243933865E7
116,Cambodia,Asia,1.694483E7,3.0239E10,2.0016747858E10,1784.56,1181289.3878545845
716,Zimbabwe,Africa,1.666541E7,3.4654E10,1.6123763648E10,2079.4,967498.7682871289
324,Guinea,Africa,1.419061E7,2.2945E10,8.476136811E9,1616.91,597306.0221512676
646,Rwanda,Africa,1.409468E7,1.317E10,8.473784827E9,934.39,601204.4847417607
204,Benin,Africa,1.371283E7,2.0029E10,8.893638002E9,1460.6,648563.2799356515
108,Burundi,Africa,1.323856E7,3.686E9,2.873699606E9,278.43,217070.40690226128
788,Tunisia,Africa,1.245822E7,0.0,4.1703561397E10,3347.47,3347473.5072105005
68,Bolivia,South America,1.238857E7,4.3351E10,3.3806395465E10,3499.27,2728837.5869854228
332,Haiti,North America,1.172476E7,2.1195E10,7.647347306E9,1807.71,652239.1337647849
56,Belgium,Europe,1.168614E7,6.39716E11,4.67955E11,54741.43,4.0043590099040404E7
400,Jordan,Asia,1.133705E7,5.0461E10,3.8654647887E10,4450.98,3409586.081652635
214,Dominican Republic,North America,1.133297E7,1.16544E11,7.158358517E10,10283.62,6316401.187861611
192,Cuba,North America,1.119445E7,0.0,8.96887E10,8011.89,8011889.820402074
728,South Sudan,Africa,1.10888E7,1.0771E10,6.534451826E9,971.34,589283.9465045813
752,Sweden,Europe,1.061209E7,6.69872E11,5.14476E11,63123.5,4.8480176854889095E7
340,Honduras,North America,1.05938E7,3.1661E10,2.1516915353E10,2988.64,2031085.66831543
203,Czech Republic,Europe,1.04953E7,3.18938E11,1.95305E11,30388.66,1.86088058464265E7
31,Azerbaijan,Europe,1.041265E7,7.2912E10,3.7847204069E10,7002.25,3634733.1437242203
300,Greece,Europe,1.034128E7,2.34808E11,1.92691E11,22705.9,1.8633186607460584E7
598,Papua New Guinea,Oceania,1.032993E7,3.2334E10,1.9694115731E10,3130.13,1906510.0858379486
620,Portugal,Europe,1.024761E7,2.67241E11,2.04837E11,26078.39,1.9988758354387023E7
348,Hungary,Europe,1.015624E7,2.19463E11,1.25817E11,21608.69,1.2388147582176082E7
762,Tajikistan,Asia,1.014354E7,7.699E9,6.951679338E9,759.01,685330.696975612
784,United Arab Emirates,Asia,9516870.0,5.06234E11,3.48744E11,53193.32,3.664482124900308E7
112,Belarus,Europe,9498240.0,6.0188E10,4.7408111179E10,6336.75,4991252.187668452
376,Israel,Asia,9174520.0,5.47765E11,3.17748E11,59705.03,3.463374650662923E7
